id,Amount,Duplicates
10.1.1.72.7133,3,"['10.1.1.72.7133', '10.1.1.39.6147', '10.1.1.34.2039']"
10.1.1.72.4054,2,"['10.1.1.72.4054', '10.1.1.43.8921']"
10.1.1.71.5737,2,"['10.1.1.71.5737', '10.1.1.14.7064']"
10.1.1.70.2080,2,"['10.1.1.70.2080', '10.1.1.67.2374']"
10.1.1.7.9457,19,"['10.1.1.7.9457', '10.1.1.7.1072', '10.1.1.49.9700', '10.1.1.49.6041', '10.1.1.46.6466', '10.1.1.39.6147', '10.1.1.26.5588', '10.1.1.22.1835', '10.1.1.207.214', '10.1.1.192.4038', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.18.1665', '10.1.1.165.9793', '10.1.1.163.6762', '10.1.1.163.4923', '10.1.1.159.1642', '10.1.1.134.4609', '10.1.1.126.230']"
10.1.1.7.4123,2,"['10.1.1.93.4031', '10.1.1.7.4123']"
10.1.1.7.1072,19,"['10.1.1.7.9457', '10.1.1.7.1072', '10.1.1.49.9700', '10.1.1.49.6041', '10.1.1.46.6466', '10.1.1.39.6147', '10.1.1.26.5588', '10.1.1.22.1835', '10.1.1.207.214', '10.1.1.192.4038', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.18.1665', '10.1.1.165.9793', '10.1.1.163.6762', '10.1.1.163.4923', '10.1.1.159.1642', '10.1.1.134.4609', '10.1.1.126.230']"
10.1.1.69.8113,2,"['10.1.1.69.8113', '10.1.1.69.7312']"
10.1.1.69.7541,2,"['10.1.1.69.7541', '10.1.1.138.3372']"
10.1.1.69.7312,2,"['10.1.1.69.8113', '10.1.1.69.7312']"
10.1.1.68.9507,2,"['10.1.1.68.9507', '10.1.1.65.5825']"
10.1.1.68.8931,2,"['10.1.1.68.8931', '10.1.1.40.9299']"
10.1.1.68.8428,3,"['10.1.1.68.8428', '10.1.1.39.6147', '10.1.1.172.5544']"
10.1.1.68.8100,2,"['10.1.1.68.8100', '10.1.1.51.6399']"
10.1.1.67.9544,2,"['10.1.1.67.9544', '10.1.1.112.5553']"
10.1.1.67.2374,2,"['10.1.1.70.2080', '10.1.1.67.2374']"
10.1.1.66.1366,2,"['10.1.1.66.1366', '10.1.1.106.769']"
10.1.1.65.7908,3,"['10.1.1.65.7908', '10.1.1.39.6147', '10.1.1.155.1422']"
10.1.1.65.5825,2,"['10.1.1.68.9507', '10.1.1.65.5825']"
10.1.1.65.3765,2,"['10.1.1.81.1567', '10.1.1.65.3765']"
10.1.1.64.8428,2,"['10.1.1.64.8428', '10.1.1.161.533']"
10.1.1.64.641,2,"['10.1.1.64.641', '10.1.1.13.7597']"
