Corpus,Amount,Duplicates
100528770,2019,"[99983360, 99803138, 99139591, 99008520, 99508233, 99975185, 99778578, 103153683, 100098075, 99901472, 99082281, 99074090, 99385392, 105848885, 102449208, 99909689, 99180603, 99598395, 99704905, 99672145, 138600531, 99172444, 99197028, 100524148, 100450421, 100556921, 99901563, 99704958, 102400139, 100171919, 99254418, 99246236, 99426463, 98992287, 99893408, 100368548, 100065445, 102457510, 102432939, 100319407, 99639472, 99352762, 99770574, 100221138, 99262678, 99188951, 99590364, 103170269, 100565214, 99803368, 100491498, 99590379, 99188971, 99590387, 98984189, 99590405, 98189573, 99205384, 103416074, 104243467, 100024590, 99852562, 102359322, 99721500, 100557090, 99123498, 99336494, 99025201, 99361077, 100221238, 98984252, 99975484, 100434239, 99975488, 99049792, 99270977, 99131712, 102383939, 99926344, 104554824, 99844426, 102433100, 99361101, 100155726, 100565328, 99590489, 100540762, 103637339, 99590501, 99533160, 99131753, 98984309, 99533174, 99893624, 99754363, 104743298, 99574148, 99451272, 99123597, 99778957, 100565391, 99778967, 99582364, 100041128, 101433769, 99205548, 99647924, 102793660, 99123646, 100164038, 138125769, 99664336, 99000787, 99205587, 103842261, 99271126, 100434391, 99893728, 103088621, 104268270, 99205619, 99107323, 104169992, 103694860, 102572558, 99353111, 100303383, 103621145, 99975709, 99533350, 99852842, 100254253, 99713583, 99484211, 95863348, 99451449, 100516412, 100221505, 103858765, 99009104, 99959383, 99336794, 99279462, 100033144, 94708359, 100041352, 99000970, 98632334, 99975824, 103465617, 100410002, 99377811, 99107484, 99451549, 99852980, 101065410, 99041988, 99271364, 99787467, 102408909, 99353296, 100041432, 99812057, 99943129, 100262624, 99230451, 100483837, 99451646, 140026626, 100213510, 99361545, 99787533, 102458135, 99361561, 99189529, 102449949, 99066657, 99959589, 99656489, 99648298, 99779383, 100188985, 99255106, 99910468, 99590989, 99885907, 102417235, 99369812, 99140438, 100483928, 99001178, 99779423, 99369824, 103121762, 100025186, 99238756, 99648358, 99353458, 101614468, 99050384, 100221841, 99894167, 99353497, 99771290, 100418460, 99500958, 137782175, 100484000, 99230627, 99271589, 100041645, 99664819, 99533748, 99173301, 99058615, 100107192, 99591096, 99115963, 99001280, 99656641, 95888327, 100107208, 99935177, 102360016, 99369943, 99648471, 103023575, 99640283, 102392795, 100287454, 99214305, 100451298, 99238887, 99902441, 97313776, 100443121, 99828725, 99632119, 100230138, 99386363, 100295679, 100484098, 99468291, 99124237, 99181585, 99009556, 101909530, 99738652, 99370019, 99705896, 99738671, 99484720, 99591220, 102442041, 102999105, 100156491, 100566093, 99656797, 102392926, 102655073, 100426851, 99075177, 102392937, 99345516, 102360173, 100451438, 99066989, 103375984, 100500594, 100295796, 99648630, 100467835, 104842366, 106046594, 99247248, 105473168, 99001491, 103072918, 99132572, 102859933, 99779745, 99517614, 93570223, 100369583, 103580849, 99976369, 103056560, 99099828, 96150710, 100287678, 105030854, 100172998, 99706079, 100312293, 100443369, 99788011, 104269039, 99042561, 99509506, 100459784, 99452168, 102712585, 99149068, 103007515, 99353893, 99927334, 100328746, 103015732, 99452213, 99829051, 99583294, 100148544, 99198276, 99140934, 99067208, 99591514, 103204192, 99968356, 99009894, 102409584, 99059058, 103441780, 99124597, 99657079, 99657087, 102401413, 99075466, 99280267, 99730827, 99599766, 100566423, 99460504, 98993563, 99583389, 100533661, 100558239, 100418980, 104277415, 99829161, 99648939, 100255149, 99075508, 100509108, 102581693, 99370435, 100566474, 100509133, 99067341, 100500949, 99124694, 99050966, 96593369, 99436012, 139224558, 99345906, 99583476, 100468213, 102360565, 99706370, 99198468, 99370503, 99468808, 98993681, 99337748, 99976729, 106120739, 100402723, 99018284, 99010094, 97486383, 102843951, 99780145, 100034098, 99976754, 99452473, 99550781, 99468866, 104048198, 99780169, 98797129, 99067468, 100460113, 103327314, 99108445, 99567200, 100484707, 103761507, 100165222, 102852206, 99649135, 100501105, 99976820, 100247158, 100378231, 93136504, 100558458, 99477123, 99427975, 99337871, 99903123, 99567258, 99968670, 99264159, 106391205, 102459047, 99837608, 106194604, 99583662, 102377145, 99354300, 100533959, 103450320, 102459097, 100501210, 100034271, 100042464, 102991585, 99460836, 99272421, 99116777, 99034865, 102655735, 99460855, 99378947, 100157192, 100189966, 102704919, 100566810, 101304094, 100362016, 99665702, 101320488, 99452720, 100362032, 103630642, 103130936, 99198777, 103352128, 100149062, 99739463, 99936076, 99534668, 102917964, 99632982, 99084119, 102459223, 105736023, 100353883, 100927325, 103204707, 100566887, 99002216, 104261479, 99354474, 99559273, 99641196, 100484976, 100132721, 99903347, 99985268, 99362682, 99600263, 99977102, 99829653, 102442902, 100296599, 103450520, 99461021, 100321184, 98977696, 100050851, 99887018, 102434744, 105834425, 99977157, 99338182, 99198926, 99887054, 99968977, 99698647, 99633117, 99198945, 99698660, 104384492, 99010540, 99190768, 106129402, 102590460, 100435964, 102361102, 100419599, 100042770, 99780627, 100255767, 99895323, 99239964, 101492770, 100501543, 99002414, 99149878, 100501569, 99059777, 99657796, 100304965, 99518533, 99903557, 99428427, 105293904, 100132945, 99952726, 102533209, 99215466, 100550770, 100223091, 100583539, 99584117, 100509810, 103581815, 100436088, 99010679, 100427899, 99592316, 98986112, 102434946, 100083848, 102803593, 101755026, 100427924, 99960984, 102697113, 99059866, 102631576, 102385818, 99600542, 100272298, 101787820, 99166383, 99649713, 99068088, 96725184, 99068102, 99911898, 102435035, 102820065, 99436770, 100305124, 99838189, 99600622, 99911924, 100034808, 99150072, 97454335, 99707135, 99526912, 99109122, 101968140, 99051791, 99658006, 99838231, 94742807, 102426905, 100362521, 100485402, 99363103, 100223265, 100337962, 100501815, 100247869, 99969342, 100346174, 102394184, 100264265, 100264266, 100125012, 99002709, 100362585, 99641691, 100034908, 99780965, 103590247, 100231529, 100313450, 102754674, 99723635, 102459770, 99551620, 104204693, 99854744, 103623068, 102386080, 99346854, 99781038, 102435253, 101296571, 99781054, 99346879, 101403076, 103868871, 100428236, 105212368, 104237520, 99453394, 99650008, 103139803, 104663515, 99838433, 99133927, 99600872, 100567534, 102795763, 99453430, 105769462, 99781122, 99920387, 99633669, 99355143, 100502024, 99912210, 99060242, 99977750, 100485659, 99150378, 103115306, 99535407, 102582838, 96774711, 99527233, 100543044, 100158021, 99347013, 100420167, 102427208, 100452940, 100543053, 102394444, 100248143, 99977811, 99535446, 103131747, 100485732, 99740263, 106023529, 99265130, 99830384, 99199602, 102451834, 100584062, 100239999, 99347070, 103082624, 99117695, 103893638, 197634696, 99166856, 102402700, 99003026, 99658391, 99658398, 99592864, 100428453, 99257001, 99953323, 98986668, 102427308, 100166327, 99281591, 99371704, 100149948, 102460094, 104278726, 99257035, 99011287, 99773145, 105851612, 106121951, 99904230, 99003112, 99453679, 99453696, 99969794, 99183365, 103967496, 103394060, 100084496, 106015510, 104205083, 100035357, 100576034, 99683114, 104172335, 100043568, 100092731, 102435646, 103295808, 102918978, 99134274, 99199811, 100150087, 99666763, 103476044, 100068180, 104278871, 100109143, 99773272, 106392410, 99896156, 99281761, 99248995, 100428656, 106031985, 101469048, 104639354, 102919040, 100354948, 99453835, 98986893, 100559757, 100101007, 99117968, 99453845, 99380119, 99650460, 100887457, 99838881, 100314023, 99519400, 100535212, 99453877, 100363189, 100101051, 99642307, 100043716, 99060677, 100174796, 99462101, 105278424, 99462107, 102362090, 100502510, 100305902, 99781618, 99535861, 100428804, 99970059, 100428812, 99453964, 103304209, 100215831, 100371482, 100101149, 99314718, 99068971, 99183665, 100510771, 98978867, 99535924, 99339319, 99683384, 98995259, 100265022, 103214147, 99019844, 103509061, 99454022, 99118151, 99626056, 100150347, 99904597, 100306013, 99953763, 98438250, 97692783, 99249264, 100174960, 100224116, 99044469, 102911094, 100379767, 100396152, 99642491, 99527803, 99257477, 96734343, 102747271, 99839115, 140029078, 102804637, 98995361, 106204325, 137776295, 93523114, 100134062, 100560051, 99839158, 99847359, 102436044, 102788302, 101747918, 99134671, 100445395, 100338906, 100543712, 99667170, 100404454, 105213164, 99511533, 100314357, 99953910, 106032376, 104033529, 100551931, 99175683, 102452486, 99355911, 100379915, 98995469, 99118354, 104041746, 99175700, 100453652, 100044054, 102944026, 99986715, 99446048, 99536161, 99749154, 99822881, 99978537, 99011883, 104246573, 100347181, 100191535, 98995503, 100461880, 99708219, 103886146, 103910729, 99700042, 99978570, 100199754, 99331406, 100429135, 103550291, 99339608, 99454297, 105737562, 102436188, 100257117, 94842207, 104648031, 99560802, 99659106, 100412772, 99970405, 100363622, 139717993, 100339054, 99978607, 99126638, 100486519, 100101498, 99716476, 100052367, 99773844, 100167060, 100175255, 100191639, 99249561, 99650971, 99216796, 103230884, 99904940, 102444470, 100511166, 99102143, 99970496, 99200450, 100388295, 99339732, 102665688, 99110366, 99929572, 100158948, 102223332, 100158957, 99020271, 102395381, 99454455, 102452729, 102665724, 99634690, 103681544, 99216912, 101887505, 133066259, 105205267, 102395413, 102829587, 99077654, 103599645, 100503072, 100167217, 99167794, 103280180, 102403640, 100167226, 100044351, 100789828, 100503110, 99995210, 99896907, 93654611, 103124568, 100404828, 99511903, 94015079, 99782248, 99520109, 102379125, 99962486, 93728380, 100281984, 100167296, 99585670, 100535954, 99577492, 99888796, 97054371, 103952036, 100413094, 100339367, 99520170, 98725555, 98602675, 99241654, 99937974, 99962550, 99135162, 99700419, 99430089, 104246986, 100167384, 100183770, 100306653, 100216543, 99348192, 102444772, 100118244, 99536615, 99962600, 100093671, 99864299, 99798769, 100511474, 99241727, 99979007, 99979011, 99454725, 99127047, 99659530, 100314892, 103116556, 102960920, 102985498, 99585819, 94949148, 100568869, 102436645, 99348262, 102403880, 99340069, 100503334, 100355899, 100036417, 99766096, 99012433, 96055123, 102420312, 99331928, 100364123, 99807085, 103206771, 100110196, 99905397, 99184506, 99176318, 100331394, 139472771, 102403975, 100102027, 100396949, 102363029, 99848091, 100446110, 97546149, 100167590, 106139564, 99954606, 99594158, 98389941, 99004342, 99446711, 99266488, 103010233, 99282877, 104271810, 99848131, 99463110, 99127240, 99782603, 100093899, 104083407, 102445009, 99971028, 99790805, 99020762, 100102110, 99602404, 100102116, 100511723, 103641072, 100487159, 99192824, 103837691, 99594250, 99364880, 100495381, 99676182, 100102169, 102944798, 100167719, 99659818, 100085803, 100290604, 100364334, 97128495, 104165424, 102551606, 102821943, 99577914, 100085823, 102379585, 99889221, 99905606, 99594320, 102854739, 99119194, 96374885, 99037287, 105214061, 101576815, 99635317, 100266101, 99971189, 100135033, 99143805, 99643540, 106295445, 99356823, 94310553, 102887585, 102846626, 99135651, 100266148, 99864741, 100528302, 99381425, 99193016, 100364480, 100151490, 102363336, 99348680, 99021000, 99340495, 99127503, 105918674, 103461077, 100389084, 100069598, 101757159, 99143914, 102396143, 99987704, 99266810, 100299007, 99774723, 100266244, 103829781, 95023383, 102453532, 99897629, 99119390, 98988319, 99840288, 102715679, 99520800, 99774756, 99660075, 104051000, 104165703, 103993672, 99897674, 102633803, 100036941, 99365204, 100897110, 100307290, 102453595, 99922268, 99348831, 100561247, 104272230, 100168043, 100266349, 99471733, 99455356, 99455369, 104133002, 100569483, 99111309, 100299151, 99119508, 100405654, 99340697, 99455393, 99119523, 102371753, 99905963, 100561329, 99635643, 99971520, 100495813, 98988493, 99914196, 99799513, 101003751, 103428586, 99062252, 99799540, 99709429, 100217332, 99570169, 99185150, 100241928, 99652106, 102887948, 101175821, 99643916, 103666192, 99455504, 99193367, 99775000, 99709466, 100495910, 100151847, 100340286, 99357248, 98988615, 139579992, 102388315, 100037212, 100446811, 99234401, 149500520, 99971691, 100463212, 100553327, 99930746, 100233855, 99021439, 100528770, 103142023, 100528777, 98996877, 100446863, 100569748, 99537557, 99136154, 99267227, 99742376, 197636778, 99357365, 94139065, 99234494, 99373761, 99062469, 99439306, 99865292, 104288975, 100045526, 102396635, 99644124, 100283103, 99767007, 100938467, 100037358, 102380282, 100556799, 99603197, 102421248, 100291335, 100135691, 100373262, 99767057, 99521297, 100430612, 106132247, 139973401, 98988829, 100201250, 100102950, 99136299, 99431212, 99603246, 103183152, 100307761, 102454083, 104043334, 106017607, 100569928, 100119369, 99431245, 99709778, 99349338, 99357545, 100021103, 99054448, 100275055, 103674738, 100152179, 99038063, 99160953, 100397949, 100307839, 100168578, 103043973, 100365192, 99701652, 100348823, 100291490, 99767206, 100103082, 99857323, 100430767, 99333051, 102601660, 102446012, 99062719, 99529664, 99767233, 100512709, 95523782, 100119493, 98997194, 105755600, 99660754, 105567192, 99914717, 99234781, 102396904, 102446058, 99079155, 99505146, 100119553, 96490498, 99513346, 100054025, 99734541, 100357165, 94753841, 99931190, 103265340, 100226110, 99529792, 100529217, 99365961, 99931213, 103593039, 104092758, 99365980, 99447913, 100340843, 100234353, 100324468, 105288823, 103642232, 100119677, 100562046, 104379523, 103265413, 99218570, 102454410, 99005579, 103527579, 102438043, 100398244, 103847079, 96244910, 106321070, 99202224, 99218608, 99210418, 99980467, 99890356, 99652789, 99923125, 99726510, 93033659, 100086972, 99210437, 99874001, 100553941, 102438105, 99341530, 100439268, 102413541, 99980521, 100300017, 99824884, 99316987, 100087035, 99366141, 99857663, 100209923, 99087625, 99136799, 99710241, 99349798, 102446376, 100046121, 100169010, 103683381, 104035638, 99013948, 99816771, 94254409, 95933771, 99194189, 99571022, 100119886, 99530069, 100586841, 99784031, 99964257, 99677538, 99915111, 96859505, 99693944, 99923321, 99652990, 99153282, 99915139, 99333511, 100038024, 99358104, 102405532, 99890594, 99538346, 100095404, 99792302, 99923383, 99767736, 104928696, 99251648, 102372810, 100586955, 102561228, 100423125, 93566422, 102847957, 100251093, 100062689, 99792355, 99218921, 103314923, 102421999, 99972592, 99186161, 99259889, 100316659, 100578804, 99153401, 99890681, 100431355, 102389241, 98153986, 99358216, 100103695, 99644948, 99915287, 99079703, 99603998, 102438433, 99440165, 102364713, 104298026, 99464752, 99595825, 104937008, 99350071, 99972666, 102831678, 100341311, 99759683, 100193863, 100087367, 100021837, 100390481, 98989649, 99276371, 100218460, 100562526, 98989666, 100488809, 99972721, 100537972, 99268213, 102594166, 100169334, 99325562, 99628668, 100054656, 100169356, 100292239, 102389392, 99718802, 99235475, 98989723, 99341982, 102430371, 99833508, 99260070, 99653293, 99833518, 104044206, 103478973, 100308670, 99317439, 99653311, 100447938, 101209795, 100939466, 97933020, 100103903, 99587809, 100407010, 99350243, 99915508, 103675645, 99538691, 100095751, 100218633, 96687887, 99833617, 103159571, 100562719, 99260195, 99120933, 100185894, 105568038, 99129131, 100112172, 100038443, 99473210, 98187066, 94533434, 100587330, 99473223, 99727175, 102741833, 99465035, 103077713, 102373203, 100448085, 99342169, 100431705, 99194714, 102700892, 100325214, 104552292, 96286569, 100317036, 106207092, 98981749, 99317636, 99669894, 100087687, 98989961, 100431753, 100177803, 103479180, 99006350, 99325839, 102373264, 99760017, 99776413, 101005214, 100153254, 104929196, 106395565, 99596211, 99530677, 99129272, 99448762, 101603262, 100292552, 104347593, 99112906, 102389714, 99538903, 99145688, 99506136, 99604444, 105846750, 100095971, 100562924, 102406130, 94689276, 100333565, 99874814, 98990082, 96491523, 100456455, 103430169, 101496859, 99366946, 100169764, 100218917, 103766060, 99604528, 99366965, 103577653, 99768375, 99268664, 104429632, 100358211, 99080260, 100563017, 139057227, 99186779, 99055707, 102389852, 103258207, 100169825, 99498081, 103970917, 99145830, 102455398, 104249449, 99653747, 99358839, 100546682, 102389883, 100481151, 99842180, 99375238, 99637385, 99252363, 100153488, 99039379, 99334292, 99834005, 100784276, 98990229, 105470109, 99350688, 99973281, 100055206, 99915946, 99924144, 99367097, 99899582, 102398143, 99842249, 99260618, 99457226, 100563146, 103454927, 99539156, 99973334, 99039448, 102701273, 102963418, 102947039, 102447327, 103405794, 102455525, 100227302, 100358375, 103209190, 99367146, 99539185, 99948793, 99358970, 99703036, 99694848, 99358977, 99531010, 100497669, 100587792, 103602453, 98998554, 103242011, 100178208, 99596578, 100227370, 99850545, 100104502, 104274233, 102758715, 99129661, 103422271, 99768639, 105388351, 102422847, 99957068, 100284756, 106297690, 96295265, 99137890, 99015016, 99637609, 99531116, 99342702, 99432818, 99334516, 100309367, 99826040, 100104569, 104233337, 100276604, 100112767, 100030848, 103397760, 100497797, 99572108, 98998670, 99056016, 103283094, 103250348, 99080624, 95304123, 99580349, 100170190, 99842514, 100039124, 100497877, 99711446, 100538842, 99219941, 99703273, 100399594, 99539438, 99465717, 99637751, 100350457, 103184892, 99539455, 99842573, 99277325, 99351059, 96385570, 100039202, 104069667, 99703338, 102857271, 99433033, 100219465, 99506769, 99973715, 100571740, 99203677, 99179103, 102890101, 102447739, 100366971, 99129979, 99474047, 99015296, 99359361, 99695231, 95115910, 99203720, 102611597, 100358799, 102587030, 100563618, 101079714, 99719848, 99908265, 99662507, 99564215, 99359416, 96754361, 99769022, 99457729, 99826369, 100154058, 99023565, 100039378, 99580627, 104487638, 100448986, 99113691, 99072736, 99842786, 102800100, 99064552, 99138287, 100227828, 100137722, 104299261, 99842815, 104086279, 99752714, 99777291, 99056395, 99728149, 100399899, 104749852, 99506974, 100260639, 98343724, 99261229, 96312116, 106396469, 99900213, 102480693, 99572549, 100539205, 100375368, 102374221, 99605327, 100047701, 99695456, 99056483, 105216869, 99367782, 100088683, 103996268, 100236139, 94174062, 99081071, 99433329, 100236146, 99777400, 100252540, 102407037, 100170632, 99195790, 103586704, 99589013, 96926615, 100334488, 100105115, 102882204, 93789086, 99277736, 104119216, 99842994, 99908547, 99834832, 99269585, 99318740, 102374371, 99466213, 100031462, 99359719, 93969384, 99285993, 99367918, 99425262, 99785710, 99662833, 100219890, 100400116, 99113974, 99908603, 102398989, 99367951, 105380881, 100219921, 99195923, 99466267, 99056671, 99367968, 99245090, 99712034, 99343400, 100039723, 100269104, 99335230, 102456386, 101678151, 99368027, 102374495, 94059625, 100031598, 100236398, 100195444, 102456437, 99138676, 99351669, 99327098, 100318331, 99269765, 99531916, 99015821, 104668306, 100088979, 100211864, 100433057, 99630242, 99056804, 100097197, 99245245, 99466431, 99966147, 96615626, 100015311, 100105423, 99359954, 99343574, 99368155, 100293852, 99368160, 102456547, 99114219, 99802352, 99777781, 98278649, 98991364, 95116549, 99851526, 100367623, 100039954, 99466520, 99556633, 102391069, 99499309, 102440243, 99515703, 99695946, 100408656, 100097360, 99138897, 100408664, 102939994, 99908954, 105758046, 94174561, 99351910, 99712358, 99843440, 99597689, 99728764, 99523973, 100154760, 100171145, 100400522, 100023694, 100031893, 99343765, 100302231, 100212129, 104193441, 99384743, 106118569, 100294058, 100367798, 103210430, 106134984, 99589584, 98991575, 100433373, 99581406, 100302303, 99368417, 100253154, 98991585, 103947748, 99704294, 99106278, 100351466, 99900912, 102882807, 99270136, 99212795, 102448637, 104234501, 103357959, 100572681, 99122698, 99827214, 100490773, 99966490, 100507167, 99974688, 100097567, 100228642, 99368482, 102178343, 99761703, 102399527, 100097578, 99761718, 102546998, 99163706, 103915067, 99245633, 100507202, 99368515, 99728962, 103644751, 99196502, 99892829, 104201825, 99933803, 99581549, 99516016, 99851897, 100499069, 99229309, 100105855, 99909260, 100294286, 100105872, 95043224, 103628444, 103833259, 100499121, 100048561, 99180218, 99450556, 100163262, 99647168, 99532485, 103415495, 99573466, 103358171, 100507354, 99991263, 102440672, 102629091, 102457061, 100105957, 99041002, 100556530, 100466421, 100220664, 102940409, 99720957, 99688189, 100368137, 102686473, 99204876, 104922892, 98672398, 99655439, 100499214, 99475218, 99639062, 99909398, 99270423, 100032283, 99737376, 100106020, 100499237, 93142833, 98983733, 103087926, 99467063, 99483450, 100196164, 100155208, 99188561, 99065682, 102883167, 99524450, 101810019, 100351844, 99598184, 100343661, 105758583, 103014264, 100261754, 99975035, 103341948, 99524477, 99966848, 99598209, 102211458, 96878472, 100319118, 100032403, 104152988, 97640353, 96354216, 100106158, 100097967, 99516339, 99336115, 99008438, 99336123, 99794886, 100556747, 99786700, 99262422, 100040664, 102612955, 102391776, 100655075, 100368360, 99737577, 99647469, 99786736, 103751674, 99246078, 100171775]"
215500912,2,"[215500912, 201185788]"
40213379,2,"[40213379, 38394238]"
197140995,2,"[5269291, 197140995]"
215173129,2,"[215173129, 43938215]"
57592004,2,"[57592004, 68915229]"
85366862,2,"[2443032, 85366862]"
26041666,2,"[26041666, 214887951]"
91184859,2,"[91184859, 105828326]"
90191445,2,"[83891474, 90191445]"
