Corpus,Amount,Duplicates
56129025,2,"[56129025, 201656011]"
5258087,2,"[30191766, 5258087]"
201759818,2,"[201759818, 143214819]"
169434930,3,"[6440865, 169434930, 198686633]"
196490606,2,"[21734976, 196490606]"
26212775,2,"[195226594, 26212775]"
81187427,2,"[46810273, 81187427]"
154455118,2,"[153927354, 154455118]"
186209943,3,"[186207916, 93708908, 186209943]"
11366236,2,"[53243656, 11366236]"
54570260,2,"[54570260, 32833622]"
195097708,2,"[195132299, 195097708]"
20219429,2,"[196478196, 20219429]"
111066359,2,"[173180420, 111066359]"
169622992,2,"[169622992, 139996418]"
208286339,2,"[208286339, 203737109]"
51662511,3,"[51635993, 51666380, 51662511]"
34925313,2,"[34925313, 42392460]"
117818214,3,"[198138169, 117204189, 117818214]"
62207295,2,"[10612742, 62207295]"
22287652,2,"[22287652, 201144965]"
189832295,2,"[97814284, 189832295]"
201016654,2,"[73135521, 201016654]"
19322386,2,"[19322386, 7419051]"
22179394,2,"[22179394, 42707645]"
128570773,2,"[210073133, 128570773]"
8883185,2,"[8883185, 208306644]"
34352833,2,"[34352833, 208512035]"
195867462,2,"[57680771, 195867462]"
32610587,2,"[73321496, 32610587]"
51606030,2,"[83168824, 51606030]"
47553650,2,"[47553650, 22507556]"
45028127,2,"[11414474, 45028127]"
53244524,2,"[8994460, 53244524]"
30168407,2,"[78812346, 30168407]"
208496591,3,"[208496591, 1417491, 82048807]"
34710409,2,"[34710409, 122562438]"
118593740,2,"[118689489, 118593740]"
42778304,2,"[42778304, 197870714]"
42678252,2,"[107810553, 42678252]"
203044123,2,"[203044123, 124859525]"
210041804,2,"[209383883, 210041804]"
207895382,2,"[209417320, 207895382]"
195268760,2,"[195268760, 195137197]"
173182019,2,"[126186866, 173182019]"
62725355,2,"[18382392, 62725355]"
6333226,2,"[6333226, 196802854]"
154636424,2,"[154636424, 195334780]"
208063475,2,"[208063475, 30332478]"
122903756,2,"[122903756, 15131262]"
189942041,2,"[189942041, 153652879]"
198173495,4,"[198176300, 198174271, 198177790, 198173495]"
11347536,2,"[11347536, 138335755]"
212664330,2,"[212664330, 212664750]"
36178120,3,"[36178120, 39492009, 208151780]"
21285656,2,"[21285656, 196607771]"
12242549,2,"[196912376, 12242549]"
123558097,2,"[123558097, 204176859]"
97409549,2,"[95463876, 97409549]"
195241342,2,"[14887186, 195241342]"
15656747,2,"[61241690, 15656747]"
52820364,5,"[18606113, 80062980, 79897349, 52820364, 57184951]"
44826274,2,"[44826274, 116576919]"
68843577,2,"[68843577, 71342374]"
73064076,2,"[43197596, 73064076]"
23186,2,"[23186, 18775579]"
33913387,2,"[33913387, 32240062]"
195113044,6,"[195104131, 195108900, 195097869, 195098192, 195113044, 195116286]"
121466417,2,"[121466417, 189775374]"
35547131,2,"[35547131, 195863710]"
44217364,2,"[44217364, 39883575]"
10226557,2,"[202646525, 10226557]"
113513974,2,"[119626182, 113513974]"
72075198,2,"[33860677, 72075198]"
118564390,3,"[119205749, 118564390, 122091806]"
12937102,3,"[19290528, 35436360, 12937102]"
98003742,2,"[196888676, 98003742]"
11771164,2,"[11771164, 53245740]"
16810261,2,"[195705584, 16810261]"
111183790,2,"[38276188, 111183790]"
208236068,2,"[74717537, 208236068]"
202021997,2,"[209420051, 202021997]"
33688686,2,"[33688686, 6456775]"
704383,3,"[704383, 17052695, 56828023]"
28613096,2,"[28613096, 38938758]"
113790825,2,"[238432, 113790825]"
202775874,2,"[202775874, 61562590]"
197520096,2,"[204176984, 197520096]"
54567374,2,"[54567374, 397823]"
53584181,2,"[53584181, 189931221]"
23695647,2,"[23695647, 189779295]"
189874523,2,"[189874523, 158895293]"
195370372,3,"[123276241, 195370372, 117764319]"
198685116,2,"[28122736, 198685116]"
80321020,2,"[38301666, 80321020]"
11402246,2,"[28229035, 11402246]"
195316873,2,"[195316873, 111181458]"
37085906,2,"[47573392, 37085906]"
208239608,2,"[208239608, 72979214]"
18560520,2,"[18560520, 17564076]"
1746355,2,"[1746355, 72011380]"
149308285,2,"[152249380, 149308285]"
62360433,2,"[43968576, 62360433]"
8038683,2,"[8038683, 17563861]"
42397802,2,"[201890416, 42397802]"
204123987,2,"[204123987, 204157383]"
53872590,2,"[53872590, 3676510]"
85588079,2,"[198121027, 85588079]"
71423386,2,"[133535818, 71423386]"
12099047,2,"[209143218, 12099047]"
150511932,2,"[150511932, 189868759]"
10335290,2,"[10335290, 58846742]"
197316291,2,"[97341026, 197316291]"
195685206,2,"[9682288, 195685206]"
79937998,2,"[42525105, 79937998]"
25702636,2,"[25702636, 125001909]"
913876,2,"[913876, 62253655]"
115971197,2,"[9805992, 115971197]"
186815234,2,"[186815234, 3296708]"
189913557,2,"[189913557, 6781863]"
195344143,2,"[121552934, 195344143]"
30986381,2,"[196604436, 30986381]"
208533534,2,"[5641676, 208533534]"
100147891,2,"[7936227, 100147891]"
40863716,2,"[32202418, 40863716]"
35053844,2,"[21522224, 35053844]"
73250949,2,"[77319032, 73250949]"
155373550,2,"[7912645, 155373550]"
14595337,2,"[14595337, 118899698]"
143220530,2,"[143220530, 42466012]"
142589335,2,"[142589335, 152280943]"
195941062,2,"[12622032, 195941062]"
52961999,2,"[52961999, 52051519]"
8972171,2,"[4400458, 8972171]"
15767336,2,"[15767336, 36187047]"
68844767,2,"[36980082, 68844767]"
54228953,2,"[54228953, 54301151]"
198153982,2,"[33599448, 198153982]"
165283707,2,"[165283707, 199061815]"
196931923,2,"[196931923, 196820253]"
90496747,2,"[90496747, 2309703]"
199469717,2,"[199469717, 156690367]"
134368226,2,"[211598121, 134368226]"
195137596,2,"[195277856, 195137596]"
6593912,2,"[6593912, 83807758]"
197200131,2,"[33735929, 197200131]"
45442712,2,"[45442712, 20891722]"
118940506,2,"[118940506, 197528975]"
16069772,2,"[16069772, 31909358]"
27007969,2,"[27007969, 756502]"
136590107,2,"[136590107, 189852603]"
57073078,2,"[12638174, 57073078]"
198729226,2,"[198729226, 198609094]"
21409691,2,"[21409691, 90390731]"
62741557,2,"[211724553, 62741557]"
203797344,2,"[203797344, 19893120]"
208623433,2,"[208623433, 98684316]"
57296632,2,"[57296632, 32573777]"
13103015,2,"[14864450, 13103015]"
55524348,2,"[35296017, 55524348]"
209602553,2,"[209602553, 2012371]"
210870429,2,"[210860283, 210870429]"
4772267,2,"[4770905, 4772267]"
45648757,2,"[24725921, 45648757]"
33702227,2,"[33702227, 120486916]"
198173339,4,"[198177568, 198178559, 198173339, 198175519]"
1381242,2,"[1381242, 54457847]"
2807069,2,"[195608100, 2807069]"
60940597,2,"[34089058, 60940597]"
83262586,2,"[83262586, 2388748]"
197649478,2,"[33326170, 197649478]"
97119225,2,"[97119225, 195861506]"
68095933,2,"[71990384, 68095933]"
40923641,2,"[40923641, 5143471]"
29980846,2,"[5342819, 29980846]"
7682652,2,"[7682652, 29410596]"
114164508,2,"[114164508, 45381983]"
204116952,2,"[204116952, 209731882]"
17296287,2,"[8897092, 17296287]"
189842884,2,"[189842884, 13610375]"
122736101,2,"[18535242, 122736101]"
59473879,2,"[201122498, 59473879]"
96617261,2,"[96617261, 30916485]"
53186328,2,"[53186328, 85397359]"
116574148,4,"[116574148, 44440292, 34580357, 7132085]"
11796157,2,"[60625682, 11796157]"
185006663,2,"[183014444, 185006663]"
76365410,2,"[72395480, 76365410]"
189912296,2,"[189912296, 170818607]"
30052589,2,"[30052589, 150157278]"
85959296,2,"[85959296, 10313133]"
4697688,2,"[4697688, 4698102]"
101320493,2,"[101027155, 101320493]"
208290016,2,"[208290016, 21471585]"
70834394,2,"[70834394, 11533695]"
194431812,2,"[194431812, 194019062]"
17128851,2,"[45941914, 17128851]"
13090039,2,"[197114483, 13090039]"
34133798,2,"[16246715, 34133798]"
138975068,2,"[53491323, 138975068]"
182450646,2,"[208370515, 182450646]"
195162748,2,"[195278098, 195162748]"
