id,Amount,Duplicates
10.1.1.49.5842,2,"['10.1.1.31.735', '10.1.1.49.5842']"
10.1.1.49.565,2,"['10.1.1.49.565', '10.1.1.28.5387']"
10.1.1.49.1559,2,"['10.1.1.48.930', '10.1.1.49.1559']"
10.1.1.48.930,2,"['10.1.1.48.930', '10.1.1.49.1559']"
10.1.1.48.2833,2,"['10.1.1.48.2833', '10.1.1.81.6808']"
10.1.1.48.1387,2,"['10.1.1.48.1387', '10.1.1.36.5454']"
10.1.1.46.8264,2,"['10.1.1.46.7869', '10.1.1.46.8264']"
10.1.1.46.7869,2,"['10.1.1.46.7869', '10.1.1.46.8264']"
10.1.1.46.7208,2,"['10.1.1.22.2062', '10.1.1.46.7208']"
10.1.1.45.9371,2,"['10.1.1.45.9371', '10.1.1.23.9777']"
10.1.1.45.8831,2,"['10.1.1.45.8831', '10.1.1.51.8438']"
10.1.1.45.6507,2,"['10.1.1.45.4313', '10.1.1.45.6507']"
10.1.1.45.4417,2,"['10.1.1.45.4417', '10.1.1.11.7636']"
10.1.1.45.4313,2,"['10.1.1.45.4313', '10.1.1.45.6507']"
10.1.1.45.1315,2,"['10.1.1.45.1315', '10.1.1.40.7389']"
10.1.1.44.9058,2,"['10.1.1.44.9058', '10.1.1.21.2382']"
10.1.1.44.5598,2,"['10.1.1.34.9610', '10.1.1.44.5598']"
10.1.1.44.4010,2,"['10.1.1.51.7088', '10.1.1.44.4010']"
10.1.1.44.2857,2,"['10.1.1.29.99', '10.1.1.44.2857']"
10.1.1.44.2822,2,"['10.1.1.44.2822', '10.1.1.55.858']"
10.1.1.43.8921,2,"['10.1.1.72.4054', '10.1.1.43.8921']"
10.1.1.43.8609,2,"['10.1.1.43.8609', '10.1.1.33.4973']"
10.1.1.42.5336,2,"['10.1.1.42.5336', '10.1.1.30.2363']"
10.1.1.42.4604,2,"['10.1.1.40.1501', '10.1.1.42.4604']"
10.1.1.41.871,2,"['10.1.1.41.871', '10.1.1.22.2354']"
10.1.1.41.2580,2,"['10.1.1.25.6054', '10.1.1.41.2580']"
10.1.1.40.9299,2,"['10.1.1.40.9299', '10.1.1.68.8931']"
10.1.1.40.9196,2,"['10.1.1.40.9196', '10.1.1.53.689']"
10.1.1.40.7389,2,"['10.1.1.45.1315', '10.1.1.40.7389']"
10.1.1.40.4535,2,"['10.1.1.76.5251', '10.1.1.40.4535']"
10.1.1.40.1501,2,"['10.1.1.40.1501', '10.1.1.42.4604']"
10.1.1.40.1490,2,"['10.1.1.40.1490', '10.1.1.141.2567']"
10.1.1.4.7825,2,"['10.1.1.4.7825', '10.1.1.73.6942']"
10.1.1.39.1298,2,"['10.1.1.39.1298', '10.1.1.31.7685']"
10.1.1.38.6121,2,"['10.1.1.25.6221', '10.1.1.38.6121']"
10.1.1.38.4946,2,"['10.1.1.54.9972', '10.1.1.38.4946']"
10.1.1.37.2260,2,"['10.1.1.37.2260', '10.1.1.55.3287']"
10.1.1.36.6331,2,"['10.1.1.36.6331', '10.1.1.103.4081']"
10.1.1.36.5906,2,"['10.1.1.36.4161', '10.1.1.36.5906']"
10.1.1.36.5454,2,"['10.1.1.48.1387', '10.1.1.36.5454']"
10.1.1.36.4161,2,"['10.1.1.36.4161', '10.1.1.36.5906']"
10.1.1.35.4594,2,"['10.1.1.35.4594', '10.1.1.55.6678']"
10.1.1.34.9610,2,"['10.1.1.34.9610', '10.1.1.44.5598']"
10.1.1.34.2039,2,"['10.1.1.34.2039', '10.1.1.72.7133']"
10.1.1.33.4973,2,"['10.1.1.43.8609', '10.1.1.33.4973']"
10.1.1.33.164,2,"['10.1.1.23.697', '10.1.1.33.164']"
10.1.1.32.7861,2,"['10.1.1.64.349', '10.1.1.32.7861']"
10.1.1.32.7028,2,"['10.1.1.55.8210', '10.1.1.32.7028']"
10.1.1.32.5901,2,"['10.1.1.32.5901', '10.1.1.99.6904']"
10.1.1.31.7685,2,"['10.1.1.39.1298', '10.1.1.31.7685']"
10.1.1.31.735,2,"['10.1.1.31.735', '10.1.1.49.5842']"
10.1.1.31.6660,2,"['10.1.1.31.6660', '10.1.1.53.3337']"
10.1.1.31.5488,2,"['10.1.1.52.2810', '10.1.1.31.5488']"
10.1.1.30.9381,2,"['10.1.1.8.817', '10.1.1.30.9381']"
10.1.1.30.2363,2,"['10.1.1.42.5336', '10.1.1.30.2363']"
10.1.1.3.832,2,"['10.1.1.3.832', '10.1.1.207.1180']"
10.1.1.3.5198,2,"['10.1.1.3.5198', '10.1.1.3.4808']"
10.1.1.3.4808,2,"['10.1.1.3.5198', '10.1.1.3.4808']"
10.1.1.3.2533,2,"['10.1.1.5.932', '10.1.1.3.2533']"
10.1.1.29.99,2,"['10.1.1.29.99', '10.1.1.44.2857']"
10.1.1.29.9108,2,"['10.1.1.56.4045', '10.1.1.29.9108']"
10.1.1.28.999,2,"['10.1.1.28.7960', '10.1.1.28.999']"
10.1.1.28.9511,2,"['10.1.1.28.9511', '10.1.1.117.3285']"
10.1.1.28.7960,2,"['10.1.1.28.7960', '10.1.1.28.999']"
10.1.1.28.5387,2,"['10.1.1.49.565', '10.1.1.28.5387']"
10.1.1.28.5031,2,"['10.1.1.22.741', '10.1.1.28.5031']"
10.1.1.26.5588,6,"['10.1.1.26.5588', '10.1.1.207.214', '10.1.1.165.9793', '10.1.1.183.5765', '10.1.1.183.3710', '10.1.1.49.9700']"
10.1.1.26.4045,2,"['10.1.1.26.4045', '10.1.1.74.4531']"
10.1.1.25.6221,2,"['10.1.1.25.6221', '10.1.1.38.6121']"
10.1.1.25.6054,2,"['10.1.1.25.6054', '10.1.1.41.2580']"
10.1.1.24.6252,2,"['10.1.1.135.8369', '10.1.1.24.6252']"
10.1.1.233.4878,2,"['10.1.1.210.1687', '10.1.1.233.4878']"
10.1.1.231.8651,2,"['10.1.1.229.1053', '10.1.1.231.8651']"
10.1.1.231.2352,2,"['10.1.1.231.2352', '10.1.1.186.2258']"
10.1.1.23.9777,2,"['10.1.1.45.9371', '10.1.1.23.9777']"
10.1.1.23.697,2,"['10.1.1.23.697', '10.1.1.33.164']"
10.1.1.229.2982,2,"['10.1.1.228.2186', '10.1.1.229.2982']"
10.1.1.229.1053,2,"['10.1.1.229.1053', '10.1.1.231.8651']"
10.1.1.228.8436,2,"['10.1.1.219.5099', '10.1.1.228.8436']"
10.1.1.228.2186,2,"['10.1.1.228.2186', '10.1.1.229.2982']"
10.1.1.227.8515,2,"['10.1.1.226.404', '10.1.1.227.8515']"
10.1.1.227.7452,2,"['10.1.1.129.8583', '10.1.1.227.7452']"
10.1.1.227.6950,2,"['10.1.1.227.6950', '10.1.1.147.311']"
10.1.1.227.1851,2,"['10.1.1.112.816', '10.1.1.227.1851']"
10.1.1.226.8283,2,"['10.1.1.226.8283', '10.1.1.224.5470']"
10.1.1.226.404,2,"['10.1.1.226.404', '10.1.1.227.8515']"
10.1.1.225.9097,2,"['10.1.1.165.8237', '10.1.1.225.9097']"
10.1.1.224.6866,2,"['10.1.1.207.5636', '10.1.1.224.6866']"
10.1.1.224.5470,2,"['10.1.1.226.8283', '10.1.1.224.5470']"
10.1.1.224.3770,2,"['10.1.1.224.3770', '10.1.1.224.1983']"
10.1.1.224.1983,2,"['10.1.1.224.3770', '10.1.1.224.1983']"
10.1.1.222.7587,2,"['10.1.1.222.7587', '10.1.1.211.9857']"
10.1.1.221.7572,2,"['10.1.1.221.7572', '10.1.1.169.2388']"
10.1.1.221.7060,2,"['10.1.1.221.7060', '10.1.1.170.6488']"
